DATETIME,DBTM (m),DMEA (m),MFIA (L/min),RPMA (rpm),SPPA (bar),WOBA (ton)
2010-07-01T00:00:02Z,802.45,2924,0,0,0.7,0
2010-07-01T00:00:07Z,802.45,2924,0,0,0.6,0
2010-07-01T00:00:12Z,802.45,2924,0,0,0.7,0
2010-07-01T00:00:17Z,802.45,2924,0,0,0.7,0
2010-07-01T00:00:22Z,802.45,2924,0,0,0.7,0
2010-07-01T00:00:27Z,802.45,2924,0,0,0.6,0
2010-07-01T00:00:32Z,802.45,2924,0,0,0.6,0
2010-07-01T00:00:37Z,802.45,2924,0,0,0.6,0
2010-07-01T00:00:42Z,802.45,2924,0,0,0.6,0
2010-07-01T00:00:47Z,802.45,2924,0,0,0.6,0
2010-07-01T00:00:52Z,802.45,2924,0,0,0.6,0
2010-07-01T00:00:57Z,802.45,2924,0,0,0.7,0
2010-07-01T00:01:02Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:07Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:12Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:17Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:22Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:27Z,802.45,2924,0,0,0.7,0
2010-07-01T00:01:32Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:37Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:42Z,802.45,2924,0,0,0.6,0
2010-07-01T00:01:47Z,802.45,2924,0,0,0.7,0
2010-07-01T00:01:52Z,802.45,2924,0,0,0.7,0
2010-07-01T00:01:57Z,802.45,2924,0,0,0.7,0
2010-07-01T00:02:02Z,802.45,2924,0,0,0.7,0
2010-07-01T00:02:07Z,802.45,2924,0,0,0.7,0
2010-07-01T00:02:12Z,802.45,2924,0,0,0.6,0
2010-07-01T00:02:17Z,802.45,2924,0,0,0.6,0
2010-07-01T00:02:22Z,802.45,2924,0,0,0.6,0
2010-07-01T00:02:27Z,802.45,2924,0,0,0.6,0
2010-07-01T00:02:32Z,802.45,2924,0,0,0.6,0
2010-07-01T00:02:37Z,802.45,2924,0,0,0.7,0
2010-07-01T00:02:42Z,802.45,2924,0,0,0.7,0
