DATETIME,DBTM (m),DMEA (m),MFIA (L/min),RPMA (rpm),SPPA (bar),WOBA (ton)
2010-06-28T00:00:03Z,2784.9,2784.91,1234.3469,110,68,5.68
2010-06-28T00:00:08Z,2784.95,2784.95,1234.3469,110,68.3,4.67
2010-06-28T00:00:13Z,2784.97,2784.97,1234.3469,110,67.6,2.04
2010-06-28T00:00:18Z,2784.99,2785,1234.5544,110,68.3,4.83
2010-06-28T00:00:23Z,2785.01,2785.02,1234.3469,110,68.3,6.76
2010-06-28T00:00:28Z,2785.06,2785.06,1234.5544,110,68.5,6.92
2010-06-28T00:00:33Z,2785.09,2785.09,1234.3469,110,68.2,3.54
2010-06-28T00:00:38Z,2785.11,2785.11,1234.5544,110,68.4,3.7
2010-06-28T00:00:43Z,2785.13,2785.13,1234.3469,110,67.7,5.17
2010-06-28T00:00:48Z,2785.18,2785.18,1234.5544,110,68.3,6.21
2010-06-28T00:00:53Z,2785.2,2785.2,1234.5544,110,68.4,4.22
2010-06-28T00:00:58Z,2785.22,2785.23,1234.3469,110,68.2,3.19
2010-06-28T00:01:03Z,2785.25,2785.25,1234.5544,110,68.5,5.08
2010-06-28T00:01:08Z,2785.3,2785.3,1234.0702,110,68.2,9
2010-06-28T00:01:13Z,2785.33,2785.33,1234.3469,110,68.1,5.29
2010-06-28T00:01:18Z,2785.35,2785.35,1234.3469,110,67.9,4.05
2010-06-28T00:01:23Z,2785.37,2785.37,1234.3469,110,67.2,4.96
2010-06-28T00:01:28Z,2785.39,2785.39,1234.3469,110,67.3,7.12
2010-06-28T00:01:33Z,2785.44,2785.44,1234.5544,110,65.7,5.11
2010-06-28T00:01:38Z,2785.46,2785.46,1234.5544,110,61.9,4.03
2010-06-28T00:01:43Z,2785.49,2785.49,1235.0386,110,59.2,5.23
2010-06-28T00:01:48Z,2785.51,2785.51,1234.7619,109,58.4,6.37
2010-06-28T00:01:53Z,2785.55,2785.55,1234.5544,110,58.3,5.09
2010-06-28T00:01:58Z,2785.58,2785.58,1234.5544,110,59.2,2.82
2010-06-28T00:02:03Z,2785.6,2785.6,1234.5544,110,60.7,4.84
2010-06-28T00:02:08Z,2785.64,2785.65,1234.3469,110,61.4,6.31
2010-06-28T00:02:13Z,2785.7,2785.7,1234.5544,110,62.2,4.1
2010-06-28T00:02:18Z,2785.72,2785.72,1234.5544,110,62.8,4.67
2010-06-28T00:02:23Z,2785.75,2785.75,1234.5544,110,62.4,6.25
2010-06-28T00:02:28Z,2785.76,2785.76,1234.5544,110,63.7,5.97
2010-06-28T00:02:33Z,2785.81,2785.81,1234.3469,110,64.6,4.86
2010-06-28T00:02:38Z,2785.84,2785.84,1234.5544,110,64.8,3.15
2010-06-28T00:02:43Z,2785.86,2785.86,1234.3469,110,65.3,3.79
2010-06-28T00:02:48Z,2785.88,2785.89,1234.5544,110,66.2,4.92
2010-06-28T00:02:53Z,2785.91,2785.91,1234.5544,110,66.6,5.06
2010-06-28T00:02:58Z,2785.95,2785.95,1234.3469,110,66.8,6.72
2010-06-28T00:03:03Z,2785.97,2785.97,1234.5544,110,67.1,7.63
2010-06-28T00:03:08Z,2785.99,2786,1234.3469,110,67.3,7.7
2010-06-28T00:03:13Z,2786.02,2786.02,1234.5544,110,67.5,5.52
2010-06-28T00:03:18Z,2786.07,2786.07,1234.5544,110,67.6,6.21
2010-06-28T00:03:23Z,2786.09,2786.09,1234.3469,110,67.7,5.55
2010-06-28T00:03:28Z,2786.11,2786.11,1234.3469,110,68,5.65
2010-06-28T00:03:33Z,2786.14,2786.14,1234.3469,110,67.5,6.02
2010-06-28T00:03:38Z,2786.19,2786.19,1234.5544,110,67.9,4.26
2010-06-28T00:03:43Z,2786.19,2786.19,1234.3469,110,67.8,8.19
2010-06-28T00:03:48Z,2786.18,2786.19,1234.3469,110,67.9,4.73
2010-06-28T00:03:53Z,2786.2,2786.21,1234.5544,110,67.8,4.84
2010-06-28T00:03:58Z,2786.22,2786.23,1234.3469,110,67.8,6.11
2010-06-28T00:04:03Z,2786.25,2786.25,1234.5544,110,68.1,7.84
2010-06-28T00:04:08Z,2786.28,2786.28,1234.5544,110,67.5,2.92
2010-06-28T00:04:13Z,2786.3,2786.3,1234.3469,110,68,5.15
2010-06-28T00:04:18Z,2786.32,2786.32,1234.3469,110,67.7,3.8
2010-06-28T00:04:23Z,2786.35,2786.35,1234.5544,110,67.9,5.85
2010-06-28T00:04:28Z,2786.36,2786.37,1234.3469,110,67.6,1.78
2010-06-28T00:04:33Z,2786.39,2786.4,1234.3469,110,68.3,3.87
2010-06-28T00:04:38Z,2786.42,2786.42,1234.3469,110,68.1,3.36
2010-06-28T00:04:43Z,2786.45,2786.47,1234.3469,110,68.2,5.79
2010-06-28T00:04:48Z,2786.49,2786.49,1234.3469,110,68.2,5.58
2010-06-28T00:04:53Z,2786.5,2786.51,1234.3469,110,68.2,1.99
2010-06-28T00:04:58Z,2786.53,2786.53,1234.3469,110,68.1,3.98
2010-06-28T00:05:03Z,2786.55,2786.56,1234.3469,110,67.6,4.47
2010-06-28T00:05:08Z,2786.58,2786.58,1234.0702,110,67,5.64
2010-06-28T00:05:13Z,2786.58,2786.58,1234.3469,110,66.9,7.12
2010-06-28T00:05:18Z,2786.58,2786.58,1234.3469,110,66.8,4.67
2010-06-28T00:05:23Z,2786.58,2786.58,1234.3469,110,65.9,6.3
2010-06-28T00:05:28Z,2786.58,2786.58,1234.3469,110,66.7,4.93
2010-06-28T00:05:33Z,2786.6,2786.6,1234.5544,110,66.6,4.48
2010-06-28T00:05:38Z,2786.6,2786.6,1234.5544,110,66.5,4.89
2010-06-28T00:05:43Z,2786.6,2786.6,1234.5544,110,66.5,2.59
2010-06-28T00:05:48Z,2786.6,2786.6,1234.3469,110,66.5,0.84
2010-06-28T00:05:53Z,2786.6,2786.6,1234.5544,110,66.8,3.9
2010-06-28T00:05:58Z,2786.6,2786.6,1234.3469,110,67,0.65
2010-06-28T00:06:03Z,2786.65,2786.65,1234.3469,110,67.1,3.72
2010-06-28T00:06:08Z,2786.65,2786.65,1234.3469,110,67.6,3.87
2010-06-28T00:06:13Z,2786.65,2786.65,1234.3469,110,66.5,4.39
2010-06-28T00:06:18Z,2786.67,2786.67,1234.5544,110,66.8,1
2010-06-28T00:06:23Z,2786.67,2786.67,1234.3469,110,67.6,2.06
2010-06-28T00:06:28Z,2786.67,2786.67,1234.3469,110,67,4.76
2010-06-28T00:06:33Z,2786.69,2786.69,1234.3469,110,66.2,2
2010-06-28T00:06:38Z,2786.7,2786.7,1234.3469,110,67.4,4.84
2010-06-28T00:06:43Z,2786.69,2786.7,1234.5544,110,66.8,-0.25
2010-06-28T00:06:48Z,2786.74,2786.74,1234.3469,110,66.6,2.85
2010-06-28T00:06:53Z,2786.74,2786.74,1234.5544,110,66.5,4.54
2010-06-28T00:06:58Z,2786.76,2786.76,1234.5544,110,66.6,3.29
2010-06-28T00:07:03Z,2786.78,2786.79,1234.5544,110,66.8,2.63
2010-06-28T00:07:08Z,2786.81,2786.81,1234.5544,110,65.7,3.13
2010-06-28T00:07:13Z,2786.83,2786.83,1234.3469,110,66.8,1.95
2010-06-28T00:07:18Z,2786.88,2786.88,1234.5544,110,66.7,3.02
2010-06-28T00:07:23Z,2786.9,2786.9,1234.3469,110,66.6,4.13
2010-06-28T00:07:28Z,2786.9,2786.91,1234.5544,110,66.6,7.06
2010-06-28T00:07:33Z,2786.9,2786.91,1234.5544,110,66.2,2.93
2010-06-28T00:07:38Z,2786.92,2786.93,1234.5544,110,66.5,3.82
2010-06-28T00:07:43Z,2786.95,2786.95,1234.3469,110,66.5,2.93
2010-06-28T00:07:48Z,2786.95,2786.95,1234.3469,110,66.6,4.9
2010-06-28T00:07:53Z,2786.97,2786.97,1234.5544,110,66.5,4.29
2010-06-28T00:07:58Z,2787,2787,1234.5544,110,66.5,5.24
2010-06-28T00:08:03Z,2787.02,2787.02,1234.5544,110,66.4,6.52
2010-06-28T00:08:08Z,2787.07,2787.07,1234.3469,110,66.5,8.5
