DATETIME,DBTM (m),DMEA (m),MFIA (L/min),RPMA (rpm),SPPA (bar),WOBA (ton)
2010-06-30T00:00:03Z,2924.24,2924.27,1137.2953,10,16.8,0
2010-06-30T00:00:08Z,2924.25,2924.27,1137.2953,10,16.9,0
2010-06-30T00:00:13Z,2924.25,2924.27,1137.5028,10,17.1,0
2010-06-30T00:00:18Z,2924.24,2924.27,1137.2953,10,17.3,0
2010-06-30T00:00:23Z,2924.25,2924.27,1137.5028,10,17.1,0
2010-06-30T00:00:28Z,2924.24,2924.27,1137.5028,10,17.1,0
2010-06-30T00:00:33Z,2924.25,2924.27,1137.5028,10,17.4,0
2010-06-30T00:00:38Z,2924.24,2924.27,1137.5028,10,17.6,0
2010-06-30T00:00:43Z,2924.25,2924.27,1137.2953,10,17.6,0
2010-06-30T00:00:48Z,2924.24,2924.27,1137.5028,10,17.8,0
2010-06-30T00:00:53Z,2924.25,2924.27,1137.5028,10,17.5,0
2010-06-30T00:00:58Z,2924.24,2924.27,1137.2953,10,17.4,0
2010-06-30T00:01:03Z,2924.25,2924.27,1137.5028,10,17.3,0
2010-06-30T00:01:08Z,2924.25,2924.27,1137.2953,10,17.1,0
2010-06-30T00:01:13Z,2924.25,2924.27,1137.2953,10,17.1,0
2010-06-30T00:01:18Z,2924.25,2924.27,1137.5028,10,17.1,0
2010-06-30T00:01:23Z,2924.25,2924.27,1137.5028,10,17.2,0
2010-06-30T00:01:28Z,2924.25,2924.27,1137.2953,10,17.4,0
2010-06-30T00:01:33Z,2924.25,2924.27,1137.2953,10,17.5,0
2010-06-30T00:01:38Z,2924.25,2924.27,1137.5028,10,17.7,0
2010-06-30T00:01:43Z,2924.24,2924.27,1137.2953,10,17.9,0
2010-06-30T00:01:48Z,2924.25,2924.27,1137.2953,10,17.7,0
2010-06-30T00:01:53Z,2924.25,2924.27,1137.5028,10,17.8,0
2010-06-30T00:01:58Z,2924.25,2924.27,1137.5028,10,17.6,0
2010-06-30T00:02:03Z,2924.25,2924.27,1137.2953,10,17.7,0
2010-06-30T00:02:08Z,2924.24,2924.27,1137.2953,10,17.7,0
2010-06-30T00:02:13Z,2924.24,2924.27,1137.5028,10,17.3,0
2010-06-30T00:02:18Z,2924.24,2924.27,1137.5028,10,17,0
2010-06-30T00:02:23Z,2924.25,2924.27,1137.2953,10,16.6,0
2010-06-30T00:02:28Z,2924.25,2924.27,1137.5028,10,16.7,0
2010-06-30T00:02:33Z,2924.25,2924.27,1137.2953,10,16.6,0
2010-06-30T00:02:38Z,2924.25,2924.27,1137.5028,10,16.5,0
2010-06-30T00:02:43Z,2924.25,2924.27,1137.2953,10,16.6,0
2010-06-30T00:02:48Z,2924.25,2924.27,1137.5028,10,16.6,0
2010-06-30T00:02:53Z,2924.25,2924.27,1137.2953,10,16.3,0
2010-06-30T00:02:58Z,2924.24,2924.27,1137.2953,10,16.2,0
2010-06-30T00:03:03Z,2924.25,2924.27,1137.5028,10,16.3,0
2010-06-30T00:03:08Z,2924.25,2924.27,1137.5028,10,16.2,0
2010-06-30T00:03:13Z,2924.25,2924.27,1137.5028,10,16.3,0
2010-06-30T00:03:18Z,2924.25,2924.27,1137.5028,10,16.2,0
2010-06-30T00:03:23Z,2924.25,2924.27,1137.5028,10,16.3,0
2010-06-30T00:03:28Z,2924.25,2924.27,1137.5028,10,16.3,0
2010-06-30T00:03:33Z,2924.25,2924.27,1137.5028,10,16.3,0
2010-06-30T00:03:38Z,2924.25,2924.27,1137.5028,10,16.4,0
2010-06-30T00:03:43Z,2924.25,2924.27,1137.5028,10,16.2,0
2010-06-30T00:03:48Z,2924.25,2924.27,1137.2953,10,16.1,0
2010-06-30T00:03:53Z,2924.24,2924.27,1137.7103,10,16,0
2010-06-30T00:03:58Z,2924.25,2924.27,1137.5028,10,16,0
2010-06-30T00:04:03Z,2924.25,2924.27,1137.2953,10,15.8,0
2010-06-30T00:04:08Z,2924.25,2924.27,1137.5028,10,15.8,0
2010-06-30T00:04:13Z,2924.25,2924.27,1137.5028,10,15.4,0
2010-06-30T00:04:18Z,2924.25,2924.27,1137.5028,10,15.2,0
2010-06-30T00:04:23Z,2924.25,2924.27,1137.5028,10,15.2,0
2010-06-30T00:04:28Z,2924.25,2924.27,1137.5028,10,15.1,0
2010-06-30T00:04:33Z,2924.25,2924.27,1137.2953,10,15.1,0
2010-06-30T00:04:38Z,2924.25,2924.27,1137.5028,10,15.1,0
2010-06-30T00:04:43Z,2924.25,2924.27,1137.5028,10,15.2,0
2010-06-30T00:04:48Z,2924.24,2924.27,1137.5028,10,15.4,0
2010-06-30T00:04:53Z,2924.25,2924.27,1137.5028,10,15.5,0
2010-06-30T00:04:58Z,2924.24,2924.27,1137.5028,10,15.7,0
2010-06-30T00:05:03Z,2924.25,2924.27,1137.2953,10,15.7,0
2010-06-30T00:05:08Z,2924.25,2924.27,1137.5028,10,15.9,0
2010-06-30T00:05:13Z,2924.24,2924.27,1137.7103,10,16.1,0
2010-06-30T00:05:18Z,2924.25,2924.27,1137.2953,10,16.3,0
2010-06-30T00:05:23Z,2924.25,2924.27,1137.5028,10,16.3,0
2010-06-30T00:05:28Z,2924.24,2924.27,1137.5028,10,16.4,0
2010-06-30T00:05:33Z,2924.25,2924.27,1137.5028,10,16.8,0
2010-06-30T00:05:38Z,2924.25,2924.27,1137.5028,10,16.9,0
2010-06-30T00:05:43Z,2924.25,2924.27,1137.5028,10,17.3,0
2010-06-30T00:05:48Z,2924.24,2924.27,1137.2953,10,17.5,0
2010-06-30T00:05:53Z,2924.25,2924.27,1137.5028,10,17.8,0
2010-06-30T00:05:58Z,2924.25,2924.27,1137.2953,10,18,0
2010-06-30T00:06:03Z,2924.24,2924.27,1137.2953,10,17.9,0
2010-06-30T00:06:08Z,2924.25,2924.27,1137.5028,10,18.3,0
2010-06-30T00:06:13Z,2924.24,2924.27,1137.5028,10,18.1,0
2010-06-30T00:06:18Z,2924.24,2924.27,1137.5028,10,18.3,0
2010-06-30T00:06:23Z,2924.25,2924.27,1137.2953,10,18.2,0
2010-06-30T00:06:28Z,2924.25,2924.27,1137.5028,10,17.9,0
2010-06-30T00:06:33Z,2924.24,2924.27,1137.5028,10,17.8,0
2010-06-30T00:06:38Z,2924.25,2924.27,1137.5028,10,17.5,0
2010-06-30T00:06:43Z,2924.24,2924.27,1137.5028,10,17.3,0
2010-06-30T00:06:48Z,2924.25,2924.27,1137.5028,10,16.7,0
2010-06-30T00:06:53Z,2924.26,2924.27,1137.2953,10,16.2,0
2010-06-30T00:06:58Z,2924.25,2924.27,1137.5028,10,15.9,0
2010-06-30T00:07:03Z,2924.25,2924.27,1137.2953,10,15.6,0
