DATETIME,DBTM (m),DMEA (m),MFIA (L/min),RPMA (rpm),SPPA (bar),WOBA (ton)
2010-06-27T17:42:58Z,2678.15,2679.57,1331.0526,0,67.6,-14.2
2010-06-27T17:43:03Z,2678.54,2679.57,1330.7759,0,67.4,-13.35
2010-06-27T17:43:08Z,2654.21,2677.26,888,17,12.3,-0.91
2010-06-27T17:43:13Z,2654.22,2677.26,887.7489,17,19.4,0.26
2010-06-27T17:43:18Z,2654.21,2677.26,887.7489,17,24.9,1.12
2010-06-27T17:43:23Z,2654.21,2677.26,887.5759,17,29,0.16
2010-06-27T17:43:28Z,2654.21,2677.26,888.0947,17,33.8,0.73
2010-06-27T17:43:33Z,2654.21,2677.26,1043.6678,17,38.6,0
2010-06-27T17:43:38Z,2654.21,2677.26,1089.9109,17,43.2,0.41
2010-06-27T17:43:43Z,2654.21,2677.26,1146.3571,17,45.3,-0.19
2010-06-27T17:43:48Z,2654.21,2677.26,1157.7017,17,46.5,0.7
2010-06-27T17:43:53Z,2653.57,2677.26,1138.2637,17,47.5,0.39
2010-06-27T17:43:58Z,2653.56,2677.26,1138.2637,17,47.8,-0.73
2010-06-27T17:44:03Z,2653.57,2677.26,1138.2637,17,48.4,1
2010-06-27T17:44:08Z,2653.57,2677.26,1138.0562,17,48.6,1.74
2010-06-27T17:44:13Z,2653.64,2677.26,1138.2637,17,48.9,0.2
2010-06-27T17:44:18Z,2653.83,2677.26,1138.2637,17,49.5,0.32
2010-06-27T17:44:23Z,2654.09,2677.26,1138.2637,17,50,0.53
2010-06-27T17:44:28Z,2654.25,2677.26,1138.2637,17,49.9,0.46
2010-06-27T17:44:33Z,2654.54,2677.26,1138.0562,17,49.9,0.3
2010-06-27T17:44:38Z,2654.71,2677.26,1138.2637,17,50.1,1.07
2010-06-27T17:44:43Z,2654.94,2677.26,1138.2637,17,50.2,0.58
2010-06-27T17:44:48Z,2655.1,2677.26,1138.0562,17,49.9,0.33
2010-06-27T17:44:53Z,2655.38,2677.26,1138.0562,17,49.9,1.67
2010-06-27T17:44:58Z,2655.57,2677.26,1138.2637,17,49.8,-0.3
2010-06-27T17:45:03Z,2655.83,2677.26,1138.0562,17,49.6,0.26
2010-06-27T17:45:08Z,2656.03,2677.26,1138.2637,17,50.2,1.01
2010-06-27T17:45:13Z,2656.29,2677.26,1138.4713,17,46.9,0.6
2010-06-27T17:45:18Z,2656.47,2677.26,1138.4713,17,48.5,1.05
2010-06-27T17:45:23Z,2656.78,2677.26,1138.2637,17,49.4,0.87
2010-06-27T17:45:28Z,2656.97,2677.26,1138.2637,17,49.6,0.65
2010-06-27T17:45:33Z,2657.27,2677.26,1138.0562,17,49.6,0.48
2010-06-27T17:45:38Z,2657.46,2677.26,1138.2637,17,49.7,1.09
2010-06-27T17:45:43Z,2657.82,2677.26,1138.2637,17,50.3,0.5
2010-06-27T17:45:48Z,2658.06,2677.26,1138.2637,17,50.1,0.46
2010-06-27T17:45:53Z,2658.46,2677.26,1138.2637,17,50,-1.04
2010-06-27T17:45:58Z,2658.74,2677.26,1138.0562,17,49.6,-1
2010-06-27T17:46:03Z,2659.14,2677.26,1138.2637,17,50.3,-2.17
2010-06-27T17:46:08Z,2659.46,2677.26,1138.2637,17,49.9,-1.08
2010-06-27T17:46:13Z,2659.95,2677.26,1138.2637,17,50,-1.23
2010-06-27T17:46:18Z,2660.27,2677.26,1138.2637,17,50.4,-0.68
2010-06-27T17:46:23Z,2660.72,2677.26,1138.2637,17,50.2,-0.56
2010-06-27T17:46:28Z,2661.04,2677.26,1138.2637,17,49.7,-0.56
2010-06-27T17:46:33Z,2661.48,2677.26,1138.2637,17,50,-0.59
2010-06-27T17:46:38Z,2661.81,2677.26,1138.0562,17,50.4,-0.2
2010-06-27T17:46:43Z,2662.26,2677.26,1138.2637,17,49.8,-0.34
2010-06-27T17:46:48Z,2662.56,2677.26,1138.0562,17,49.9,-0.52
2010-06-27T17:46:53Z,2663.03,2677.26,1138.0562,17,50.4,-0.67
2010-06-27T17:46:58Z,2663.35,2677.26,1138.2637,17,49.9,-1.73
2010-06-27T17:47:03Z,2663.79,2677.26,1138.2637,17,49.9,-1.49
2010-06-27T17:47:08Z,2664.1,2677.26,1138.2637,17,50.1,-0.83
2010-06-27T17:47:13Z,2664.53,2677.26,1138.2637,17,50,-1.59
2010-06-27T17:47:18Z,2664.81,2677.26,1138.0562,17,49.8,-0.99
2010-06-27T17:47:23Z,2665.26,2677.26,1138.2637,17,49.8,-1.16
2010-06-27T17:47:28Z,2665.55,2677.26,1138.2637,17,49.9,-1.69
2010-06-27T17:47:33Z,2665.98,2677.26,1138.0562,17,49.9,-0.32
2010-06-27T17:47:38Z,2666.26,2677.26,1138.2637,17,49.6,-0.99
2010-06-27T17:47:43Z,2666.63,2677.26,1138.2637,17,49.4,-2.75
2010-06-27T17:47:48Z,2666.85,2677.26,1138.2637,17,49.8,-1.16
2010-06-27T17:47:53Z,2667.26,2677.26,1138.2637,17,49.6,-1.02
2010-06-27T17:47:58Z,2667.56,2677.26,1138.0562,17,49.4,-0.91
2010-06-27T17:48:03Z,2667.95,2677.26,1138.2637,17,49.8,-1.11
2010-06-27T17:48:08Z,2668.24,2677.26,1138.2637,17,49.5,-1.56
2010-06-27T17:48:13Z,2668.64,2677.26,1138.2637,17,49.5,-1.53
2010-06-27T17:48:18Z,2668.9,2677.26,1138.2637,17,50,-1.28
2010-06-27T17:48:23Z,2669.33,2677.26,1138.2637,17,50,-1.73
2010-06-27T17:48:28Z,2669.59,2677.26,1138.2637,17,49.6,-1.61
2010-06-27T17:48:33Z,2670.03,2677.26,1138.2637,17,49.8,-1.84
2010-06-27T17:48:38Z,2670.3,2677.26,1138.0562,17,49.5,-1.86
2010-06-27T17:48:43Z,2670.73,2677.26,1138.0562,17,50,-1.37
2010-06-27T17:48:48Z,2670.98,2677.26,1138.2637,17,49.4,-1.52
2010-06-27T17:48:53Z,2671.43,2677.26,1138.2637,17,49.4,-1.93
2010-06-27T17:48:58Z,2671.68,2677.26,1138.2637,17,49.7,-1.76
2010-06-27T17:49:03Z,2672.07,2677.26,1138.4713,17,49.4,-0.54
2010-06-27T17:49:08Z,2672.37,2677.26,1138.2637,17,49.1,-0.49
2010-06-27T17:49:13Z,2672.76,2677.26,1138.2637,17,49.6,-1.7
2010-06-27T17:49:18Z,2673.03,2677.26,1138.2637,17,49,-1.39
2010-06-27T17:49:23Z,2673.43,2677.26,1138.2637,17,49.1,-1.03
2010-06-27T17:49:28Z,2673.66,2677.26,1138.2637,17,49.3,-2.01
2010-06-27T17:49:33Z,2674.08,2677.26,1138.2637,17,49.6,-1.12
2010-06-27T17:49:38Z,2674.33,2677.26,1138.2637,17,49.2,-1.73
2010-06-27T17:49:43Z,2674.74,2677.26,1138.0562,17,49.2,-1.22
2010-06-27T17:49:48Z,2674.98,2677.26,1138.4713,17,49.2,-1.32
2010-06-27T17:49:53Z,2675.36,2677.26,1138.0562,17,49.3,-0.54
2010-06-27T17:49:58Z,2675.59,2677.26,1138.2637,17,48.3,4.49
2010-06-27T17:50:03Z,2675.34,2677.26,1138.2637,17,48.5,10.18
2010-06-27T17:50:08Z,2674.92,2677.26,1138.0562,17,47.7,7.93
2010-06-27T17:50:13Z,2674.55,2677.26,1138.2637,17,47.7,1.37
2010-06-27T17:50:18Z,2674.79,2677.26,1138.2637,17,48.3,-0.11
2010-06-27T17:50:23Z,2675.16,2677.26,1138.2637,17,48.1,0.13
2010-06-27T17:50:28Z,2675.2,2677.26,1138.2637,17,47.4,-1.73
2010-06-27T17:50:33Z,2675.3,2677.26,1138.2637,17,47.7,-1.7
2010-06-27T17:50:38Z,2675.36,2677.26,1138.2637,17,47.8,-1.36
2010-06-27T17:50:43Z,2675.48,2677.26,1138.2637,17,48.1,-1.53
2010-06-27T17:50:48Z,2675.55,2677.26,1138.2637,17,47.7,-1.4
2010-06-27T17:50:53Z,2675.67,2677.26,1138.2637,17,47.9,-1.13
2010-06-27T17:50:58Z,2675.73,2677.26,1138.2637,17,48.4,-1.06
2010-06-27T17:51:03Z,2675.83,2677.26,1138.2637,17,47.7,-1.99
2010-06-27T17:51:08Z,2675.87,2677.26,1138.2637,17,47.7,-0.67
2010-06-27T17:51:13Z,2675.97,2677.26,1138.4713,17,47.6,-1.35
2010-06-27T17:51:18Z,2676.04,2677.26,1138.2637,17,48,-0.35
2010-06-27T17:51:23Z,2676.15,2677.26,1138.4713,17,48.1,-0.43
2010-06-27T17:51:28Z,2676.22,2677.26,1138.2637,17,47.3,1.08
2010-06-27T17:51:33Z,2675.92,2677.26,1138.4713,17,46.9,6.35
2010-06-27T17:51:38Z,2675.53,2677.26,1138.2637,17,46.3,8.94
2010-06-27T17:51:43Z,2674.88,2677.26,1138.0562,17,47.6,7.65
2010-06-27T17:51:48Z,2674.46,2677.26,1158.5318,17,49.8,8.35
2010-06-27T17:51:53Z,2673.83,2677.26,1235.7304,17,53.7,9.44
2010-06-27T17:51:58Z,2673.41,2677.26,1331.3293,17,56.3,8.9
2010-06-27T17:52:03Z,2672.85,2677.26,1331.3293,29,58.1,11.3
2010-06-27T17:52:08Z,2672.85,2677.26,1331.0526,36,59.3,6.55
2010-06-27T17:52:13Z,2672.85,2677.26,1331.0526,46,60.5,7.07
2010-06-27T17:52:18Z,2672.84,2677.26,1331.0526,52,55.4,7.22
2010-06-27T17:52:23Z,2672.85,2677.26,1331.606,52,58,4.61
2010-06-27T17:52:28Z,2672.96,2677.26,1331.3293,53,60.1,-1.39
2010-06-27T17:52:33Z,2673.36,2677.26,1331.0526,52,61.3,-0.44
2010-06-27T17:52:38Z,2673.75,2677.26,1331.3293,52,62.5,-0.94
2010-06-27T17:52:43Z,2674.35,2677.26,1331.0526,52,63,-1.54
2010-06-27T17:52:48Z,2674.71,2677.26,1331.0526,53,64.3,0.64
2010-06-27T17:52:53Z,2675.13,2677.26,1331.3293,53,63.6,-0.98
2010-06-27T17:52:58Z,2675.25,2677.26,1331.0526,52,63.6,0.46
2010-06-27T17:53:03Z,2675.25,2677.26,1331.0526,52,63.5,0.86
2010-06-27T17:53:08Z,2675.31,2677.26,1331.3293,52,64,-2.74
2010-06-27T17:53:13Z,2675.62,2677.26,1331.3293,53,64.2,-0.8
2010-06-27T17:53:18Z,2675.8,2677.26,1330.7759,53,64.3,-0.94
2010-06-27T17:53:23Z,2676.08,2677.26,1331.0526,53,65.3,-0.18
2010-06-27T17:53:28Z,2676.27,2677.26,1331.0526,53,63.3,1.51
2010-06-27T17:53:33Z,2676.36,2677.26,1331.0526,54,64,0
2010-06-27T17:53:38Z,2676.37,2677.26,1331.0526,52,63.1,0.05
2010-06-27T17:53:43Z,2676.36,2677.26,1331.0526,52,63,0.18
2010-06-27T17:53:48Z,2676.36,2677.26,1331.0526,52,63.1,0.73
2010-06-27T17:53:53Z,2676.39,2677.26,1331.3293,52,62.8,1.46
2010-06-27T17:53:58Z,2676.38,2677.26,1330.7759,52,63.3,-1.19
2010-06-27T17:54:03Z,2676.39,2677.26,1331.0526,52,63.6,-0.61
2010-06-27T17:54:08Z,2676.43,2677.26,1331.0526,52,63.2,-0.55
2010-06-27T17:54:13Z,2676.48,2677.26,1331.0526,52,62.9,0.87
2010-06-27T17:54:18Z,2676.51,2677.26,1331.0526,53,63.1,-0.29
2010-06-27T17:54:23Z,2676.55,2677.26,1331.0526,53,63.1,1.06
2010-06-27T17:54:28Z,2676.55,2677.26,1331.0526,53,62.9,2.68
2010-06-27T17:54:33Z,2676.56,2677.26,1331.0526,53,62.8,1.96
2010-06-27T17:54:38Z,2676.58,2677.26,1331.0526,52,63.3,1.81
2010-06-27T17:54:43Z,2676.6,2677.26,1331.0526,52,62.9,0
2010-06-27T17:54:48Z,2676.62,2677.26,1331.0526,52,63,0.9
2010-06-27T17:54:53Z,2676.62,2677.26,1331.0526,52,62.9,2.43
2010-06-27T17:54:58Z,2676.65,2677.26,1331.3293,52,62.6,2.11
2010-06-27T17:55:03Z,2676.67,2677.26,1331.3293,52,62.2,-1.36
2010-06-27T17:55:08Z,2676.69,2677.26,1330.7759,53,62.7,0.48
2010-06-27T17:55:13Z,2676.73,2677.26,1331.0526,53,62.8,-0.28
2010-06-27T17:55:18Z,2676.76,2677.26,1331.0526,52,63.1,3.89
2010-06-27T17:55:23Z,2676.76,2677.26,1331.0526,52,63.2,0.84
2010-06-27T17:55:28Z,2676.81,2677.26,1331.0526,52,63,0.05
2010-06-27T17:55:33Z,2676.83,2677.26,1331.0526,52,62.8,-1.27
2010-06-27T17:55:38Z,2676.86,2677.26,1331.0526,53,62.7,0.78
2010-06-27T17:55:43Z,2676.9,2677.26,1331.0526,52,64.2,0.45
2010-06-27T17:55:48Z,2676.95,2677.26,1331.0526,52,63.3,1.96
2010-06-27T17:55:53Z,2676.98,2677.26,1331.0526,53,63,1.83
2010-06-27T17:55:58Z,2676.97,2677.26,1331.0526,53,63.2,0.26
2010-06-27T17:56:03Z,2677.05,2677.26,1331.0526,52,63,-0.59
2010-06-27T17:56:08Z,2677.09,2677.26,1331.0526,52,62.9,1.15
2010-06-27T17:56:13Z,2677.14,2677.26,1331.3293,52,63.2,2.22
2010-06-27T17:56:18Z,2677.16,2677.26,1331.0526,52,64,-0.29
2010-06-27T17:56:23Z,2677.2,2677.26,1331.3293,52,64.1,0.67
2010-06-27T17:56:28Z,2677.2,2677.26,1330.7759,52,64.7,0.8
2010-06-27T17:56:33Z,2677.25,2677.26,1331.0526,52,64.2,1.6
2010-06-27T17:56:38Z,2677.26,2677.26,1331.0526,53,63.4,2.06
2010-06-27T17:56:43Z,2677.26,2677.26,1331.0526,53,62.9,2.18
2010-06-27T17:56:48Z,2677.26,2677.26,1330.7759,52,62.5,3.81
2010-06-27T17:56:53Z,2677.25,2677.26,1331.0526,53,63.4,2.22
2010-06-27T17:56:58Z,2677.26,2677.26,1331.0526,53,63.4,5.41
2010-06-27T17:57:03Z,2677.26,2677.26,1331.3293,53,64.2,3.46
2010-06-27T17:57:08Z,2677.26,2677.26,1331.0526,53,63.5,4.65
2010-06-27T17:57:13Z,2677.26,2677.26,1331.0526,52,63.5,4.81
2010-06-27T17:57:18Z,2677.26,2677.26,1331.0526,52,63.2,3.32
2010-06-27T17:57:23Z,2677.26,2677.26,1330.7759,52,63,4.7
2010-06-27T17:57:28Z,2677.26,2677.26,1331.0526,52,62.6,3.62
2010-06-27T17:57:33Z,2677.26,2677.26,1330.7759,52,62.6,2.38
2010-06-27T17:57:38Z,2677.26,2677.26,1331.3293,53,62.7,4.16
2010-06-27T17:57:43Z,2677.26,2677.26,1331.0526,53,63.7,2.73
2010-06-27T17:57:48Z,2677.26,2677.26,1331.0526,52,62.9,3.57
2010-06-27T17:57:53Z,2677.26,2677.26,1331.0526,52,62.3,4.63
2010-06-27T17:57:58Z,2677.25,2677.26,1330.7759,52,62.5,1.71
2010-06-27T17:58:03Z,2677.28,2677.28,1331.0526,52,62.7,1.69
2010-06-27T17:58:08Z,2677.28,2677.28,1331.0526,53,63.5,0.89
2010-06-27T17:58:13Z,2677.29,2677.29,1331.0526,53,63,1.09
2010-06-27T17:58:18Z,2677.28,2677.29,1331.0526,52,63.1,2.28
2010-06-27T17:58:23Z,2677.28,2677.29,1331.0526,52,63.1,2.64
2010-06-27T17:58:28Z,2677.28,2677.29,1331.3293,53,62.9,4.09
2010-06-27T17:58:33Z,2677.31,2677.31,1331.0526,53,62.5,1.83
2010-06-27T17:58:38Z,2677.3,2677.31,1331.0526,53,62.9,1.39
2010-06-27T17:58:43Z,2677.3,2677.31,1331.0526,52,63.1,3.07
2010-06-27T17:58:48Z,2677.31,2677.31,1331.0526,52,63.7,3.89
2010-06-27T17:58:53Z,2677.33,2677.33,1331.0526,53,62.6,1.49
2010-06-27T17:58:58Z,2677.33,2677.33,1331.3293,52,63.3,2.35
2010-06-27T17:59:03Z,2677.33,2677.33,1331.0526,52,63.2,3.13
2010-06-27T17:59:08Z,2677.33,2677.33,1331.0526,52,62.9,1.1
2010-06-27T17:59:13Z,2677.34,2677.35,1331.0526,52,63.4,3.01
2010-06-27T17:59:18Z,2677.35,2677.36,1331.0526,52,63.3,1.59
2010-06-27T17:59:23Z,2677.35,2677.36,1331.0526,52,63.5,0.25
2010-06-27T17:59:28Z,2677.38,2677.38,1331.0526,52,63.6,2.19
2010-06-27T17:59:33Z,2677.37,2677.38,1331.0526,53,63.7,1.97
2010-06-27T17:59:38Z,2677.37,2677.38,1331.0526,53,63.5,2
2010-06-27T17:59:43Z,2677.38,2677.38,1331.0526,53,63.8,1.54
2010-06-27T17:59:48Z,2677.4,2677.4,1331.0526,52,63.7,3.23
2010-06-27T17:59:53Z,2677.4,2677.4,1331.0526,52,63.7,3.01
2010-06-27T17:59:58Z,2677.4,2677.4,1331.0526,52,63.7,2.69
2010-06-27T18:00:03Z,2677.4,2677.4,1331.0526,53,64.3,1.46
2010-06-27T18:00:08Z,2677.42,2677.43,1331.0526,52,63.2,1.17
2010-06-27T18:00:13Z,2677.42,2677.43,1330.7759,52,63.6,4.38
2010-06-27T18:00:18Z,2677.43,2677.43,1331.3293,52,63,3.46
2010-06-27T18:00:23Z,2677.45,2677.45,1330.7759,52,63.7,1.59
2010-06-27T18:00:28Z,2677.47,2677.47,1331.0526,53,62.8,2.64
2010-06-27T18:00:33Z,2677.51,2677.51,1331.0526,52,64,4.28
2010-06-27T18:00:38Z,2677.54,2677.54,1331.0526,53,63.8,4.56
2010-06-27T18:00:43Z,2677.54,2677.54,1331.0526,53,64.6,2.37
2010-06-27T18:00:48Z,2677.56,2677.56,1331.0526,52,63.8,1.85
2010-06-27T18:00:53Z,2677.56,2677.56,1331.0526,53,63.6,4.06
2010-06-27T18:00:58Z,2677.58,2677.59,1331.0526,52,63.8,2.4
2010-06-27T18:01:03Z,2677.58,2677.59,1331.0526,52,64.7,1.7
2010-06-27T18:01:08Z,2677.61,2677.61,1331.0526,52,64.1,2.24
2010-06-27T18:01:13Z,2677.63,2677.63,1331.0526,53,63.7,4.86
2010-06-27T18:01:18Z,2677.65,2677.65,1331.0526,52,63.7,2.74
